Course ID,Discipline,Course Name,SME Name,Institute,Co-ordinating Institute,Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,"
Co-ordinating Institute",Click here to Join the course,Course ID.1,NPTEL URL.1,Unnamed: 26,description_gemini
noc23-ae08,Aerospace / Mechanical Engineering,elements of mechanical vibration,Prof. Ashish K Darpe,IITD,IITD,12 Weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae08/preview,,https://nptel.ac.in/courses/101102090,,,,,,,,,,,,
noc23-ae09,Aerospace Engineering,aircraft stability and control,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae09/preview,https://onlinecourses.nptel.ac.in/noc22_ae10/preview,https://nptel.ac.in/courses/101104062,,,,,,,,,,,,
noc23-ae10,Aerospace Engineering,introduction to airplane performance,"Prof. A K Ghosh
Prof Deepu Philip",IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae10/preview,https://onlinecourses.nptel.ac.in/noc22_ae11/preview,https://nptel.ac.in/courses/101104061,,,,,,,,,,,,
noc23-ae11,Aerospace engineering,introduction to airbreathing propulsion,Prof. Ashoke De,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Core/Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae11/preview,https://onlinecourses.nptel.ac.in/noc22_ae12/preview,https://nptel.ac.in/courses/101104084,,,,,,,,,,,,
noc23-ae12,Aerospace Engineering,design of fixed wing unmanned aerial vehicles,Prof. Subrahmanyam Saderla,IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae12/preview,https://onlinecourses.nptel.ac.in/noc22_ae15/preview,https://nptel.ac.in/courses/101104073,,,,,,,,,,,,
noc23-ae13,Aerospace Engineering,uav design - part ii,Prof. Saderla Subrahmanyam,IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae13/preview,https://onlinecourses.nptel.ac.in/noc22_ae16/preview,https://nptel.ac.in/courses/101104083,,,,,,,,,,,,
noc23-ae14,Aerospace Engineering,introduction to aerospace engineering-flight,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae14/preview,https://onlinecourses.nptel.ac.in/noc22_ae13/preview,https://nptel.ac.in/courses/101101079,,,,,,,,,,,,
noc23-ae15,Aerospace engineering,introduction to aircraft design,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae15/preview,https://onlinecourses.nptel.ac.in/noc22_ae14/preview,https://nptel.ac.in/courses/101101083,,,,,,,,,,,,
noc23-ae16,Aerospace Engineering,space flight mechanics,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae16/preview,https://onlinecourses.nptel.ac.in/noc22_ae21/preview,https://nptel.ac.in/courses/101105083,,,,,,,,,,,,
noc23-ae17,Aerospace Engineering,vibration and structural dynamics,Prof. Mira Mitra,IITKGP,IITKGP,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Advanced Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae17/preview,https://onlinecourses.nptel.ac.in/noc21_ae15/preview,https://nptel.ac.in/courses/101105081,,,,,,,,,,,,
